Project Name,Title,Description,Number of Rooms,Bathrooms,Floor Size,Floor Level,Link,Street Address,Locality,Latitude,Longitude
Sri Karumari Amman Flats,"2 BHK Flat in Choolaimedu, Chennai","Sri karumari amman flats is one of chennai central's most sought after destination for apartments and this 2 bhk flat in choolaimedu is your opportunity to be a part of this community. Containing 2 bedroom(s), 2 bathrooms , this flat is spread over a built up area of 1665 sq.Ft. The residential building has 2 floors in total and the flat for sale is located on the ground floor with fully furnished..An added advantage of this 0-1 year old flat is that it is available for immediate possession as the project is already ready to move.",,2,1665 sq.ft.,G,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sri-karumari-amman-flats-choolaimedu-chennai-central-1665-sq-ft-spid-I80988983,"Choolaimedu, Chennai",Chennai Central,13.058558,80.223284
Misri The Element,"4 BHK Flat in Egmore, Chennai","Enjoy a blissful living experience in Misri The Element. This residential project encompasses 4 BHK flats in Egmore, Chennai Central and brings you the best of both the worlds – excellent aesthetics and exemplary lifestyle.

Its unique highlights include facilities like Fountain, Bar/Chill-Out Lounge, Terrace Garden, Entrance Lobby, Lifts and many others. All of these and the other features make this project a true value for money. And you can now buy your exclusive 4 BHK flat in this project at a price of Rs. 4.14 Crore - Rs. 4.4 Crore. It has a super built-up area ranging from 2240.0 sq. ft. - 2380.0 sq. ft.",,0,2240-2380  sq.ft.,1,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-misri-the-element-egmore-chennai-central-2240-sq-ft-to-2380-sq-ft-npspid-H80356815,"Egmore, Chennai",Chennai Central,13.073384,80.256233
,Taj Skyview Hotel and Residences,"Beautiful 3,4 BHK apartments in Aminjikarai, are now available in Taj Skyview Hotel and Residences housing project. This society is RERA approved and TN/29/Building/0303/2023 dated 14/07/2023 is the RERA number. Apartments in this complex are available in price range of Rs. 7.42 - 13.88 Cr. Here units have different sizes, mostly in range of 2,507 - 4,688 sq.ft. BUILTUP area",,,,,https://www.99acres.com/taj-skyview-hotel-and-residences-aminjikarai-chennai-central-npxid-r412610,Aminjikarai,Chennai Central,13.071435704127557,80.22351259544654
,Brigade Icon,"Beautiful 3,4 BHK apartments in Mount Road, are now available in Brigade Icon housing project. This society offers apartments in the price range of Rs. 7.8 - 11.7 Cr. This society is RERA approved and TN/29/Building/0392/2024 is the RERA number. Brigade Icon apartments are available in multiples sizes, ranging from 2,500 - 3,750 sq.ft. SUPER area",,,,,https://www.99acres.com/brigade-icon-mount-road-chennai-central-npxid-r429179,Mount Road,Chennai Central,12.9600051,80.2421652
,Maliban The Pride,"Maliban The Pride, one of the known housing societes in Chennai Central, brings classic yet modern 2,3 BHK apartments in Choolaimedu. Maliban The Pride has apartments in multiple configurations, in range of 969 - 1,317 sq.ft.. Prices of apartments in this project, vary between Rs. 1.33 - 1.79 Cr. The property options in this society are Under Construction",,,,,https://www.99acres.com/maliban-the-pride-choolaimedu-chennai-central-npxid-r441102,Choolaimedu,Chennai Central,13.060243102627094,80.23005702270125
,Nahar Jasoda,"Nahar Jasoda society now offers elegantly built 3,4,5 BHK apartments in Kilpauk. Apartments in this complex are available in price range of Rs. 3.18 - 3.28 Cr. Nahar Jasoda has apartments in multiple configurations, in range of 1,876 - 1,896 sq.ft.. Nahar Jasoda 's RERA registration number is TN/29/Building/0276/2023",,,,,https://www.99acres.com/nahar-jasoda-kilpauk-chennai-central-npxid-r412011,Kilpauk,Chennai Central,13.081026194559325,80.23398292490283
,E Residences,"Spacious 3,4,5 BHK apartments in Nungambakkam are available for sale.Check out latest property options at E Residences housing society. Here units have different sizes, mostly in range of 3,135 - 6,600 sq.ft. SUPER area. This society is RERA approved and TN/29/Building/0073/2017 is the RERA number. This society offers apartments in the price range of Rs. 7.21 - 15.18 Cr",,,,,https://www.99acres.com/e-residences-nungambakkam-chennai-central-npxid-r223401,Nungambakkam,Chennai Central,13.060124,80.264839
Buckingham Carnatic Mills,"4 BHK Flat in Purasaiwakkam, Chennai","Spr city highliving purusaiwakkam chennai

A 4 bhk flat for sale in jamalia, chennai. Posted by owner, no brokerage involved. This beautifully designed 4 bhk unit with all the modern-Day comforts is one of jamalia's most desired properties. Contact now for more information. This 4 bhk unit is on floor 23. There are 46 floors in this property. The price of this flat is rs 3.95 cr. Each unit has a built-Up area of 3161 square feet. The carpet area is 2213 square feet. There are 4 bedrooms. There is provision for 5 bathroom. This property is also equipped with a servant room. The flat in jamalia, chennai has lift facility. It is a thoroughly secure premise with cctv facility. Other facilities include provisions for gym, garden, sports facility, swimming pool, intercom, clubhouse, community hall. This property also enjoys power backup facility. Regular water supply is available in this property. Kids have access to a dedicated kids area. This is a gated community. It is also close to sri balaji multi speciality hospital, muthu hospital, and g.K.M hospital",,5,3161 sq.ft.,23,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-purasaiwakkam-chennai-central-3161-sq-ft-spid-C78780433,"Purasaiwakkam, Chennai",Chennai Central,13.089929,80.252883
,Prince Elite,"Choose your dream home from the wide variety of 4 BHK apartments in Kilpauk, available for sale in Prince Elite. Apartments in this complex are available in price range of Rs. 5.8 - 7.15 Cr. Here units have different sizes, mostly in range of 3,222 - 3,975 sq.ft. SUPER area. Prince Elite 's RERA registration number is TN/29/Building/0356/2024",,,,,https://www.99acres.com/prince-elite-kilpauk-chennai-central-npxid-r427039,Kilpauk,Chennai Central,13.063434,80.256898
,Yes Gee Vedha,"Looking for your dream home? Explore 3 BHK apartments in Kilpauk, now available in Yes Gee Vedha. Apartments in Yes Gee Vedha have SUPER area ranging between 977 - 1,210 sq.ft.. The housing society is RERA-registered with TN/29/Building/0316/2024 registration number. Apartment prices in this housing society vary in the range of Rs. 1.37 - 1.69 Cr",,,,,https://www.99acres.com/yes-gee-vedha-kilpauk-chennai-central-npxid-r427293,Kilpauk,Chennai Central,13.087,80.23257
